Source,Target,Type,ID,Label,Weight
Al Hibbler,Lawrence Brown,Directed,1,CH,1
Al Hibbler,Ray Nance,Directed,2,CH,1
Al Hibbler,Harry Carney,Directed,3,CH,1
Al Hibbler,Jimmy Hamilton,Directed,4,CH,1
Al Hibbler,Junior Raglin,Directed,5,CH,1
Al Hibbler,Johnny Hodges,Directed,6,CH,1
Al Hibbler,Tyree Glenn,Directed,7,CH,1
Al Hibbler,Oscar Pettiford,Directed,8,CH,1
Al Hibbler,Sonny Greer,Directed,9,CH,1
Al Hibbler,Duke Ellington,Directed,10,CH,1
Al Hibbler,Russell Procope,Directed,11,CH,1
Al Hibbler,Django Reinhardt,Directed,12,CH,1
Al Hibbler,Tricky Sam Nanton,Directed,13,CH,1
Al Hibbler,Billy Strayhorn,Directed,14,CH,1
Al Hibbler,Rex Stewart,Directed,15,CH,1
Al Hibbler,Juan Tizol,Directed,16,CH,1
Al Hibbler,Otto Hardwick,Directed,17,CH,1
Al Hibbler,Cat Anderson,Directed,18,CH,1
Al Hibbler,Joya Sherrill,Directed,19,CH,1
Al Hibbler,Ben Webster,Directed,20,CH,1
Al Hibbler,Nancy Wilson,Directed,8019,LJ,1
Al Hibbler,Phil Woods,Directed,8020,LJ,1
Lawrence Brown,Al Hibbler,Directed,1361,CH,1
Lawrence Brown,Ray Nance,Directed,1352,CH,1
Lawrence Brown,Harry Carney,Directed,1357,CH,1
Lawrence Brown,Jimmy Hamilton,Directed,1358,CH,1
Lawrence Brown,Junior Raglin,Directed,1355,CH,1
Lawrence Brown,Johnny Hodges,Directed,1346,CH,1
Lawrence Brown,Tyree Glenn,Directed,1359,CH,1
Lawrence Brown,Oscar Pettiford,Directed,1360,CH,1
Lawrence Brown,Sonny Greer,Directed,1347,CH,1
Lawrence Brown,Duke Ellington,Directed,1353,CH,1
Lawrence Brown,Russell Procope,Directed,1362,CH,1
Lawrence Brown,Django Reinhardt,Directed,1363,CH,1
Lawrence Brown,Tricky Sam Nanton,Directed,1348,CH,1
Lawrence Brown,Billy Strayhorn,Directed,1349,CH,1
Lawrence Brown,Rex Stewart,Directed,1356,CH,1
Lawrence Brown,Juan Tizol,Directed,1350,CH,1
Lawrence Brown,Otto Hardwick,Directed,1354,CH,1
Lawrence Brown,Cat Anderson,Directed,1364,CH,1
Lawrence Brown,Joya Sherrill,Directed,1365,CH,1
Lawrence Brown,Ben Webster,Directed,1351,CH,1
Lawrence Brown,Louie Bellson,Directed,7281,LJ,1
Lawrence Brown,Slide Hampton,Directed,7282,LJ,1
Ray Nance,Al Hibbler,Directed,812,CH,1
Ray Nance,Lawrence Brown,Directed,797,CH,1
Ray Nance,Harry Carney,Directed,808,CH,1
Ray Nance,Jimmy Hamilton,Directed,809,CH,1
Ray Nance,Junior Raglin,Directed,806,CH,1
