Gerry Mulligan,Dave Brubeck
Gerry Mulligan,Milt Hinton
Hank Jones,Roy Haynes
Milt Hinton,Dizzy Gillespie
Milt Hinton,Charlie Shavers
Milt Hinton,Billy Taylor
Milt Hinton,Urbie Green
Milt Hinton,Louie Bellson
Milt Hinton,Sarah Vaughan
Milt Hinton,Mel Powell
Milt Hinton,Jo Jones
Milt Hinton,Pearl Bailey
Milt Hinton,Gerry Mulligan
Dave Brubeck,Stan Getz
Dave Brubeck,Paul Desmond
Dave Brubeck,Duke Ellington
Dave Brubeck,Gerry Mulligan
Dave Brubeck,Carmen McRae
Roy Haynes,Stan Getz
Roy Haynes,Pearl Bailey
Roy Haynes,Lester Young
Roy Haynes,Louie Bellson
Roy Haynes,Joe Newman
Roy Haynes,Coleman Hawkins
Roy Haynes,Ella Fitzgerald
Roy Haynes,Charles Mingus
Roy Haynes,Charlie Parker
Roy Haynes,Symphony Sid
Roy Haynes,Buddy Rich
Roy Haynes,Red Rodney
Roy Haynes,Sahib Shihab
Roy Haynes,Thelonious Monk
Roy Haynes,Jimmy Jones
Roy Haynes,Duke Ellington
Roy Haynes,Joe Benjamin
Roy Haynes,Kenny Clarke
Roy Haynes,Billie Holiday
Roy Haynes,Billy Eckstine
Roy Haynes,Kai Winding
Roy Haynes,Dizzy Gillespie
Roy Haynes,Max Roach
Roy Haynes,Sarah Vaughan
Roy Haynes,Al Haig
Roy Haynes,Hank Jones
Roy Haynes,Sonny Stitt
Roy Haynes,Tommy Potter
Roy Haynes,Art Blakey
Roy Haynes,Count Basie
Roy Haynes,Bud Powell
Roy Haynes,Miles Davis
Roy Haynes,Dinah Washington
Count Basie,Benny Powell
Count Basie,Fletcher Henderson
Count Basie,Lionel Hampton
Count Basie,Mary Lou Williams
Count Basie,Roy Haynes
Benny Carter,Roy Eldridge
Benny Carter,Oscar Peterson
Sarah Vaughan,Louie Bellson
Sarah Vaughan,Milt Hinton
Sarah Vaughan,Roy Haynes
Sarah Vaughan,Mary Lou Williams
Sarah Vaughan,Billy Eckstine
Johnny Hodges,Lionel Hampton
Lena Horne,Mary Lou Williams
Oscar Pettiford,Mary Lou Williams
Harry Belafonte,John Levy
Mary Lou Williams,Billy Eckstine
Mary Lou Williams,Ben Webster
Mary Lou Williams,Barry Ulanov
Mary Lou Williams,Hazel Scott
Mary Lou Williams,Dizzy Gillespie
Mary Lou Williams,Mildred Bailey
Mary Lou Williams,Kenny Clarke
Mary Lou Williams,Erroll Garner
Mary Lou Williams,Lester Young
Mary Lou Williams,Illinois Jacquet
Mary Lou Williams,Thelma Carpenter
Mary Lou Williams,Hot Lips Page
Mary Lou Williams,Billy Taylor
Mary Lou Williams,Edmond Hall
Mary Lou Williams,Art Blakey
Mary Lou Williams,Josh White
Mary Lou Williams,Count Basie
Mary Lou Williams,Sarah Vaughan
Mary Lou Williams,Thelonious Monk
Mary Lou Williams,J. C. Heard
Mary Lou Williams,Lena Horne
Mary Lou Williams,Oscar Pettiford
Mary Lou Williams,Buck Clayton
Mary Lou Williams,Billie Holiday
Bobby Tucker,Billy Eckstine
Bobby Tucker,John Levy
George Shearing,John Levy
Illinois Jacquet,Mary Lou Williams
Illinois Jacquet,Lionel Hampton
Duke Ellington,Roy Haynes
Duke Ellington,Dave Brubeck
Duke Ellington,Billy Eckstine
Glenn Miller,Lionel Hampton
Yank Lawson,Bob Haggart
Dizzy Gillespie,Mary Lou Williams
Dizzy Gillespie,Milt Hinton
Dizzy Gillespie,Buddy DeFranco
Dizzy Gillespie,Oscar Peterson
Dizzy Gillespie,Roy Haynes
Dizzy Gillespie,Billy Eckstine
Dizzy Gillespie,Roy Eldridge
Dizzy Gillespie,Louie Bellson
Dizzy Gillespie,Billy Taylor
Edmond Hall,Mary Lou Williams
Urbie Green,Milt Hinton
Pearl Bailey,Roy Haynes
Pearl Bailey,Louie Bellson
Pearl Bailey,Milt Hinton
Thelma Carpenter,Mary Lou Williams
Hot Lips Page,Mary Lou Williams
Bud Freeman,Bob Haggart
Erroll Garner,Mary Lou Williams
Erroll Garner,Louie Bellson
Symphony Sid,Roy Haynes
Joe Benjamin,Roy Haynes
Ben Webster,Mary Lou Williams
Ben Webster,Louie Bellson
Ben Webster,Oscar Peterson
Hazel Scott,Mary Lou Williams
John Levy,Chuck Wayne
John Levy,Denzil Best
John Levy,Billie Holiday
John Levy,George Shearing
John Levy,Harry Belafonte
John Levy,Remo Palmier
Herb Jeffries,Louie Bellson
Bobby Hackett,Bob Haggart
Oscar Peterson,Ray Brown
Oscar Peterson,Roy Eldridge
Oscar Peterson,Coleman Hawkins
Oscar Peterson,Lester Young
Oscar Peterson,Dizzy Gillespie
Oscar Peterson,Benny Carter
Oscar Peterson,Ella Fitzgerald
Oscar Peterson,Ben Webster
Oscar Peterson,Louie Bellson
Oscar Peterson,Buddy DeFranco
Al Haig,Roy Haynes
Josh White,Mary Lou Williams
Lionel Hampton,Benny Goodman
Lionel Hampton,Teddy Wilson
Lionel Hampton,Glenn Miller
Lionel Hampton,Eubie Blake
Lionel Hampton,Roy Eldridge
Lionel Hampton,Count Basie
Lionel Hampton,Illinois Jacquet
Lionel Hampton,Milt Buckner
Lionel Hampton,Johnny Hodges
Lionel Hampton,Dinah Washington
Lionel Hampton,Lester Young
Billy Taylor,Billie Holiday
Billy Taylor,Milt Hinton
Billy Taylor,Mary Lou Williams
Billy Taylor,Lester Young
Billy Taylor,Dizzy Gillespie
Miles Davis,Roy Haynes
Denzil Best,John Levy
Fletcher Henderson,Count Basie
Lester Young,Roy Haynes
Lester Young,Benny Powell
Lester Young,Mary Lou Williams
Lester Young,Oscar Peterson
Lester Young,Billy Taylor
Lester Young,Louie Bellson
Lester Young,Lionel Hampton
Lester Young,Roy Eldridge
Remo Palmier,John Levy
Gene Krupa,Roy Eldridge
Carmen McRae,Dave Brubeck
Budd Johnson,Billy Eckstine
Roy Eldridge,Ray Brown
Roy Eldridge,Ella Fitzgerald
Roy Eldridge,Louie Bellson
Roy Eldridge,Eubie Blake
Roy Eldridge,Benny Carter
